Student_IDs,Semester,Degree_Type,Class_Standing,Major,Expected_Graduation,Course_Name,Course_Number,Course_Type,Course_Code_by_Thousands,Semester_Week,Check_In_Date,Check_In_Time,Check_Out_Time,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA
BGSU00018,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Introductory Methodology,SOC-2680,SOC,2000,13,11/15/16,17:25:00,18:50:00,85,FEMALE,13,3.461,122,3.404,0.057
BGSU00018,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Introductory Methodology,SOC-2680,SOC,2000,16,12/7/16,17:53:00,19:17:00,83,FEMALE,13,3.461,122,3.404,0.057
BGSU00018,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Introductory Methodology,SOC-2680,SOC,2000,11,11/1/16,17:22:00,18:05:00,43,FEMALE,13,3.461,122,3.404,0.057
BGSU00018,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,World War II,HIST-3030,HIST,3000,10,10/27/16,17:21:00,18:03:00,42,FEMALE,13,3.461,122,3.404,0.057
BGSU00018,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Introductory Methodology,SOC-2680,SOC,2000,7,10/6/16,17:43:00,18:22:00,38,FEMALE,13,3.461,122,3.404,0.057
BGSU00018,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,World War II,HIST-3030,HIST,3000,12,11/8/16,17:29:00,18:04:00,35,FEMALE,13,3.461,122,3.404,0.057
BGSU00024,Fall 2016,Graduate,Graduate,"HDFS-MIN:Human Development & Family Std,PSYC-BA:Psychology",Spring Semester 2021,Introduction to Biology,BIOL-1040,BIOL,1000,10,10/24/16,14:32:00,15:40:00,68,FEMALE,15,3.733,123,4,-0.267
BGSU00034,Fall 2016,Undergraduate,Senior,"BIOL-BS:Biology,PREMED:Pre-Prof Program in Medicine",Summer Semester 2018,Principles of Microeconomics,ECON-2020,ECON,2000,4,9/13/16,19:19:00,19:53:00,34,MALE,18,2.8,126,3.254,-0.454
BGSU00034,Fall 2016,Undergraduate,Senior,"BIOL-BS:Biology,PREMED:Pre-Prof Program in Medicine",Summer Semester 2018,Principles of Microeconomics,ECON-2020,ECON,2000,6,9/29/16,13:23:00,13:55:00,32,MALE,18,2.8,126,3.254,-0.454
BGSU00034,Fall 2016,Undergraduate,Senior,"BIOL-BS:Biology,PREMED:Pre-Prof Program in Medicine",Summer Semester 2018,Principles of Microeconomics,ECON-2020,ECON,2000,14,11/22/16,11:22:00,11:44:00,21,MALE,18,2.8,126,3.254,-0.454
BGSU00034,Fall 2016,Undergraduate,Senior,"BIOL-BS:Biology,PREMED:Pre-Prof Program in Medicine",Summer Semester 2018,Principles of Microeconomics,ECON-2020,ECON,2000,9,10/20/16,14:00:00,14:17:00,17,MALE,18,2.8,126,3.254,-0.454
BGSU00039,Fall 2016,Undergraduate,Senior,"BSHDFS:BS Hum Dev & Fam Stds,SOC-MIN:Sociology",Spring Semester 2021,Preadolescent and Adolescent in Family and Community,HDFS-2280,HDFS,2000,6,9/29/16,20:56:00,21:43:00,47,FEMALE,9,1,105,1.873,-0.873
BGSU00039,Fall 2016,Undergraduate,Senior,"BSHDFS:BS Hum Dev & Fam Stds,SOC-MIN:Sociology",Spring Semester 2021,Preadolescent and Adolescent in Family and Community,HDFS-2280,HDFS,2000,11,11/3/16,20:50:00,21:23:00,32,FEMALE,9,1,105,1.873,-0.873
BGSU00039,Fall 2016,Undergraduate,Senior,"BSHDFS:BS Hum Dev & Fam Stds,SOC-MIN:Sociology",Spring Semester 2021,Preadolescent and Adolescent in Family and Community,HDFS-2280,HDFS,2000,9,10/20/16,20:43:00,21:08:00,25,FEMALE,9,1,105,1.873,-0.873
BGSU00039,Fall 2016,Undergraduate,Senior,"BSHDFS:BS Hum Dev & Fam Stds,SOC-MIN:Sociology",Spring Semester 2021,Preadolescent and Adolescent in Family and Community,HDFS-2280,HDFS,2000,7,10/6/16,20:49:00,21:03:00,14,FEMALE,9,1,105,1.873,-0.873
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,6,9/26/16,14:19:00,16:15:00,115,MALE,12,4,134,3.218,0.782
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,2,8/31/16,14:30:00,15:59:00,89,MALE,12,4,134,3.218,0.782
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,9,10/17/16,13:47:00,15:17:00,89,MALE,12,4,134,3.218,0.782
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,10,10/26/16,13:17:00,14:43:00,86,MALE,12,4,134,3.218,0.782
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,10,10/26/16,10:30:00,11:56:00,85,MALE,12,4,134,3.218,0.782
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,16,12/5/16,14:12:00,15:37:00,85,MALE,12,4,134,3.218,0.782
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,13,11/16/16,13:59:00,15:24:00,84,MALE,12,4,134,3.218,0.782
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,5,9/21/16,13:27:00,14:50:00,83,MALE,12,4,134,3.218,0.782
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,4,9/14/16,10:45:00,12:02:00,77,MALE,12,4,134,3.218,0.782
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,9,10/19/16,13:25:00,14:39:00,74,MALE,12,4,134,3.218,0.782
BGSU00042,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,7,10/5/16,15:17:00,15:33:00,16,MALE,12,4,134,3.218,0.782
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,12,11/9/16,12:40:00,17:26:00,286,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,13,11/18/16,12:44:00,16:48:00,243,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,10,10/26/16,10:46:00,14:44:00,238,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,12,11/7/16,09:38:00,13:31:00,232,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,12,11/7/16,14:09:00,18:00:00,231,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,6,9/26/16,10:34:00,13:22:00,167,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,5,9/21/16,14:13:00,16:56:00,162,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,5,9/21/16,10:41:00,13:13:00,152,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,13,11/16/16,10:17:00,12:49:00,152,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,7,10/3/16,10:21:00,12:46:00,145,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,12,11/9/16,09:39:00,11:59:00,139,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,10,10/24/16,17:27:00,19:44:00,136,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,4,9/12/16,10:22:00,12:24:00,122,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,3,9/9/16,09:42:00,11:33:00,110,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,4,9/15/16,13:56:00,15:46:00,109,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,9,10/21/16,10:47:00,12:30:00,103,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,3,9/7/16,16:49:00,18:29:00,99,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,9,10/21/16,14:23:00,15:50:00,87,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,10,10/26/16,15:56:00,17:22:00,85,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,10,10/24/16,10:46:00,11:52:00,66,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,3,9/7/16,12:42:00,13:44:00,62,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,14,11/21/16,10:14:00,11:16:00,61,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,5,9/23/16,15:02:00,16:00:00,57,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,5,9/19/16,15:11:00,16:00:00,49,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,12,11/8/16,16:55:00,17:41:00,45,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,12,11/10/16,14:20:00,14:48:00,28,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,10,10/27/16,13:51:00,14:08:00,17,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,5,9/19/16,13:44:00,13:52:00,8,FEMALE,13,3.75,142,2.4,1.35
BGSU00047,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,College Algebra I,MATH-1210,MATH,1000,7,10/6/16,15:16:00,15:24:00,8,FEMALE,13,3.75,142,2.4,1.35
BGSU00048,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Intermediate Microeconomic Theory,ECON-3020,ECON,3000,9,10/20/16,14:00:00,15:11:00,70,MALE,18,3.833,129,3.014,0.819
BGSU00049,Fall 2016,Undergraduate,Senior,No Response,Summer Semester 2017,Mathematics for Architecture/Construct,MATH-1230,MATH,1000,2,9/2/16,11:48:00,13:50:00,122,MALE,18,2.333,155,2.383,-0.05
BGSU00049,Fall 2016,Undergraduate,Senior,No Response,Summer Semester 2017,Building Information Modeling (BIM) for Constructors,CONS-3710,CONS,3000,5,9/23/16,11:43:00,12:28:00,44,MALE,18,2.333,155,2.383,-0.05
BGSU00052,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Elementary Italian I,ITAL-1010,ITAL,1000,13,11/14/16,10:26:00,11:20:00,53,MALE,19,3.375,181,3.253,0.122
BGSU00052,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Elementary Italian I,ITAL-1010,ITAL,1000,16,12/5/16,10:24:00,11:16:00,51,MALE,19,3.375,181,3.253,0.122
BGSU00052,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Elementary Italian I,ITAL-1010,ITAL,1000,12,11/7/16,10:35:00,11:22:00,46,MALE,19,3.375,181,3.253,0.122
BGSU00062,Fall 2016,Undergraduate,Senior,"COMPSC-BA:Computer Science,PSYC-MIN:Psychology",Spring Semester 2018,Discrete Mathematics,MATH-2220,MATH,2000,16,12/8/16,08:52:00,09:36:00,43,MALE,12,2,147,2.557,-0.557
BGSU00066,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Calculus and Analytic Geometry IA,MATH-1340,MATH,1000,2,8/31/16,15:28:00,18:45:00,196,MALE,16,3.187,119,2.69,0.497
BGSU00066,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Calculus and Analytic Geometry IA,MATH-1340,MATH,1000,17,12/14/16,12:43:00,14:59:00,136,MALE,16,3.187,119,2.69,0.497
BGSU00066,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Calculus and Analytic Geometry IA,MATH-1340,MATH,1000,7,10/3/16,14:39:00,16:46:00,126,MALE,16,3.187,119,2.69,0.497
BGSU00066,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Calculus and Analytic Geometry IA,MATH-1340,MATH,1000,3,9/7/16,14:30:00,16:01:00,90,MALE,16,3.187,119,2.69,0.497
BGSU00066,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Calculus and Analytic Geometry IA,MATH-1340,MATH,1000,6,9/29/16,15:53:00,16:47:00,54,MALE,16,3.187,119,2.69,0.497
BGSU00066,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Calculus and Analytic Geometry IA,MATH-1340,MATH,1000,2,9/1/16,18:09:00,18:53:00,44,MALE,16,3.187,119,2.69,0.497
BGSU00066,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Calculus and Analytic Geometry IA,MATH-1340,MATH,1000,2,9/2/16,14:55:00,15:34:00,38,MALE,16,3.187,119,2.69,0.497
BGSU00066,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Calculus and Analytic Geometry IA,MATH-1340,MATH,1000,7,10/5/16,14:56:00,15:28:00,32,MALE,16,3.187,119,2.69,0.497
BGSU00072,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,College Algebra,MATH-1220,MATH,1000,13,11/16/16,13:27:00,16:00:00,153,MALE,12,3.25,146,2.836,0.414
BGSU00072,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,11,11/2/16,11:03:00,13:18:00,134,MALE,12,3.25,146,2.836,0.414
BGSU00072,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,College Algebra,MATH-1220,MATH,1000,16,12/7/16,10:11:00,12:06:00,114,MALE,12,3.25,146,2.836,0.414
BGSU00072,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,11,10/31/16,11:46:00,13:40:00,113,MALE,12,3.25,146,2.836,0.414
BGSU00072,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,9,10/19/16,12:21:00,13:57:00,96,MALE,12,3.25,146,2.836,0.414
BGSU00072,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,6,9/28/16,11:09:00,12:09:00,59,MALE,12,3.25,146,2.836,0.414
BGSU00072,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Business Analytics V: Prescriptive Analytics,OR-3800,OR,3000,4,9/14/16,14:57:00,15:44:00,46,MALE,12,3.25,146,2.836,0.414
BGSU00074,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,Basic Calculus,MATH-1260,MATH,1000,7,10/6/16,15:47:00,17:44:00,117,MALE,16,2.538,164,2.814,-0.276
BGSU00074,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,Basic Calculus,MATH-1260,MATH,1000,5,9/21/16,17:40:00,17:56:00,15,MALE,16,2.538,164,2.814,-0.276
BGSU00080,Fall 2016,Undergraduate,Senior,No Response,Summer Semester 2018,Introduction to Python Programming,CS-1010,CS,1000,5,9/20/16,15:30:00,16:24:00,53,FEMALE,15,4,158,3.878,0.122
BGSU00081,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Elementary Spanish II,SPAN-1020,SPAN,1000,16,12/6/16,10:01:00,10:33:00,32,MALE,19,3.5,150,3.363,0.137
BGSU00082,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2017,Understanding Computers,CS-1000,CS,1000,13,11/17/16,16:03:00,16:24:00,21,MALE,14,2.214,129,2.47,-0.256
BGSU00088,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,Predictive Analytics,STAT-2120,STAT,2000,17,12/15/16,09:42:00,14:31:00,288,MALE,14,3.142,125,3.285,-0.143
BGSU00088,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,Predictive Analytics,STAT-2120,STAT,2000,10,10/28/16,10:44:00,14:21:00,217,MALE,14,3.142,125,3.285,-0.143
BGSU00088,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,Predictive Analytics,STAT-2120,STAT,2000,10,10/27/16,17:14:00,20:14:00,179,MALE,14,3.142,125,3.285,-0.143
BGSU00088,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,Predictive Analytics,STAT-2120,STAT,2000,6,9/26/16,11:39:00,14:03:00,144,MALE,14,3.142,125,3.285,-0.143
BGSU00088,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,Predictive Analytics,STAT-2120,STAT,2000,14,11/21/16,16:53:00,17:53:00,59,MALE,14,3.142,125,3.285,-0.143
BGSU00091,Fall 2016,Undergraduate,Junior,COMPSC-BS:Computer Science,Spring Semester 2017,Elementary Italian I,ITAL-1010,ITAL,1000,11,11/2/16,11:29:00,12:48:00,78,MALE,14,1.538,85,2.042,-0.504
BGSU00091,Fall 2016,Undergraduate,Junior,COMPSC-BS:Computer Science,Spring Semester 2017,Elementary Italian I,ITAL-1010,ITAL,1000,16,12/7/16,11:27:00,12:31:00,64,MALE,14,1.538,85,2.042,-0.504
BGSU00091,Fall 2016,Undergraduate,Junior,COMPSC-BS:Computer Science,Spring Semester 2017,Elementary Italian I,ITAL-1010,ITAL,1000,15,11/30/16,11:25:00,12:28:00,62,MALE,14,1.538,85,2.042,-0.504
BGSU00091,Fall 2016,Undergraduate,Junior,COMPSC-BS:Computer Science,Spring Semester 2017,Elementary Italian I,ITAL-1010,ITAL,1000,13,11/16/16,11:28:00,12:29:00,61,MALE,14,1.538,85,2.042,-0.504
BGSU00091,Fall 2016,Undergraduate,Junior,COMPSC-BS:Computer Science,Spring Semester 2017,Elementary Italian I,ITAL-1010,ITAL,1000,12,11/9/16,11:32:00,12:25:00,52,MALE,14,1.538,85,2.042,-0.504
BGSU00094,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,14,11/21/16,09:56:00,21:54:00,717,MALE,13,3,136,2.992,0.008
BGSU00094,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,16,12/5/16,12:32:00,13:04:00,32,MALE,13,3,136,2.992,0.008
BGSU00094,Fall 2016,Undergraduate,Senior,No Response,Spring Semester 2018,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,10,10/24/16,12:41:00,13:02:00,20,MALE,13,3,136,2.992,0.008
BGSU00107,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Computer Organization,CS-2170,CS,2000,5,9/22/16,16:05:00,17:50:00,104,MALE,18,2.166,132,2.338,-0.172
BGSU00111,Fall 2016,Undergraduate,Senior,No Response,Summer Semester 2018,College Physics I,PHYS-2010,PHYS,2000,8,10/12/16,17:37:00,18:51:00,74,MALE,15,1,193,2.054,-1.054
BGSU00115,Fall 2016,Undergraduate,Senior,"CHIN-MIN:Chinese Minor,COMPSC-BS:Computer Science",Spring Semester 2021,Calculus and Analytic Geometry,MATH-1310,MATH,1000,5,9/22/16,12:20:00,13:35:00,74,MALE,11,2.6,162,3.017,-0.417
BGSU00115,Fall 2016,Undergraduate,Senior,"CHIN-MIN:Chinese Minor,COMPSC-BS:Computer Science",Spring Semester 2021,Calculus and Analytic Geometry,MATH-1310,MATH,1000,5,9/25/16,17:52:00,18:57:00,64,MALE,11,2.6,162,3.017,-0.417
BGSU00115,Fall 2016,Undergraduate,Senior,"CHIN-MIN:Chinese Minor,COMPSC-BS:Computer Science",Spring Semester 2021,Calculus and Analytic Geometry,MATH-1310,MATH,1000,4,9/13/16,18:02:00,19:04:00,62,MALE,11,2.6,162,3.017,-0.417
BGSU00115,Fall 2016,Undergraduate,Senior,"CHIN-MIN:Chinese Minor,COMPSC-BS:Computer Science",Spring Semester 2021,Calculus and Analytic Geometry,MATH-1310,MATH,1000,3,9/7/16,20:25:00,21:02:00,36,MALE,11,2.6,162,3.017,-0.417
BGSU00115,Fall 2016,Undergraduate,Senior,"CHIN-MIN:Chinese Minor,COMPSC-BS:Computer Science",Spring Semester 2021,Calculus and Analytic Geometry,MATH-1310,MATH,1000,7,10/3/16,08:41:00,09:15:00,34,MALE,11,2.6,162,3.017,-0.417
BGSU00115,Fall 2016,Undergraduate,Senior,"CHIN-MIN:Chinese Minor,COMPSC-BS:Computer Science",Spring Semester 2021,Calculus and Analytic Geometry,MATH-1310,MATH,1000,3,9/9/16,08:43:00,09:06:00,22,MALE,11,2.6,162,3.017,-0.417
